thetaleft,thetaright,contactpointleft,contactpointright,volume,framenumber
17.365290514137502,17.347053822192038,165.92801162131525,850.2955988455989,9434791.164705543,0.0
17.29688186525273,17.119912728832105,166.1046145124716,849.6987414965984,9398658.092327021,1.0
17.05628767524457,17.195843101790302,165.73553024356596,849.1831069624817,9385655.681409704,2.0
17.34370566364271,17.258795263271963,166.19066648629138,847.814995748299,9337714.8196321,3.0
17.224432373376352,17.191981456239688,166.43351641414128,847.0759821428567,9303464.955629999,4.0
17.096213161284375,17.857198871610223,166.4711398423004,846.1969869614508,9275709.112125352,5.0
17.079209367881912,17.524953626318933,166.21301896516175,845.469797335601,9257078.795576857,6.0
17.21261748979686,17.66219259738915,166.4056335034013,845.1148625283444,9240401.18884945,7.0
17.184019730425064,16.823062188298422,166.46411886724383,846.0131791125542,9219266.057886535,8.0
16.97415539058931,17.106450876931774,166.4894733044733,845.3744416099772,9210250.166132437,9.0
16.901393837679386,16.829192186869363,166.40137716450215,845.4527721088433,9203729.43490146,10.0
16.850996773746903,16.81184225631202,166.08362386621317,844.965471938775,9192441.027521245,11.0
16.86341523018855,16.63477043328635,166.52029738119015,844.5644423830132,9143648.79224725,12.0
16.628509926821064,16.852312603792853,166.31814368171507,844.165571273964,9136351.397099277,13.0
16.914229228034813,16.642154413801194,166.39394248608525,843.9952437641723,9124362.255957572,14.0
16.75480999753025,16.762272328748423,166.4274844104307,843.5891993918779,9096435.455036566,15.0
16.69855786928008,16.596088622397048,166.36635088126155,843.1047491496596,9076914.441202179,16.0
16.687480915315096,16.760883893744648,166.8532142857143,842.6780988455984,9035090.352013811,17.0
16.512132164620464,16.993087992616466,166.77859449082658,841.7712244897956,8999238.96113702,18.0
16.625600047427643,17.060803497664466,167.35343112244894,841.5448611111108,8975504.470177513,19.0
16.576356171167017,16.87678749054419,167.1682723922902,840.7133886054415,8938386.095518913,20.0
16.155752560984762,16.40572375967892,167.61941017316008,838.6476445578227,8784357.270789208,21.0
16.196286711422506,16.534913426518813,167.43929421768706,834.9915406617192,8685994.7742193,22.0
16.226686797431928,16.487423192601057,167.70340136054423,833.9598301896513,8625337.30891119,23.0
16.03184643588209,16.3067705832691,168.03066043083902,831.9078219696964,8527262.465951402,24.0
15.278049032623278,15.967977911227877,172.62541884702594,831.2185870181404,8355513.30256067,25.0
15.784438295000927,16.21168417431835,183.48255978148836,830.7833815192743,8095029.898187992,26.0
16.207184951930554,16.220082912919082,189.87827149041425,830.3836796536795,7914245.707192747,27.0
15.831619943389658,16.155885676685102,192.01622796846013,827.4566113945576,7739709.991594724,28.0
15.60559275792028,16.676974667998905,192.05256235827667,821.8197306859806,7578057.117423056,29.0
15.649224169229665,15.579168085772153,192.9156547619047,819.6652178674501,7443338.65213804,30.0
11.78834745233765,15.302524378323824,186.4852118119975,817.3486865119006,7382595.272076074,31.0
15.779355391067782,15.291811537172663,201.80584054834057,815.6387793753863,7116664.321968277,32.0
16.168681953276998,15.456013710931558,206.91446351267774,813.5642261904758,6945609.305275243,33.0
16.021038857337125,15.512719411257592,209.03417916408972,810.6355102040816,6806588.685242407,34.0
16.11208335933036,15.155403746342898,212.5304229797979,807.3195490620493,6620367.681012875,35.0
15.757521903609673,16.28883985169483,214.6267565965779,801.3299954509773,6437993.367446826,36.0
15.869737407112865,16.417339907838198,218.9975432900433,798.6386383259597,6263856.6333043035,37.0
15.250381338719482,16.882960036596074,219.1872526085026,793.9636630333948,6129942.650328506,38.0
15.001306198955145,17.981882373464856,219.12503220985357,787.6276734475841,5977794.127852703,39.0
13.711602909657435,17.87772152424961,219.02456127206116,784.1886706349203,5842681.419778948,40.0
15.506126207449464,16.802352851095833,230.20204919088846,782.6289301175016,5620737.259359725,41.0
15.529809092106618,16.64398346390996,233.56949786324782,778.6468783300029,5452905.009779474,42.0
16.302943420096852,16.249353018454542,239.1357882395381,775.1488544788541,5262106.693110846,43.0
16.690305161591542,16.275872574787115,242.7820787545786,771.2959910228658,5097855.996409,44.0
16.637691807783963,16.10185746661162,246.28605725623578,767.478548653727,4922975.209826059,45.0
16.18905505191025,16.117687306155744,247.8113267982017,763.1753805222554,4774004.794130211,46.0
16.334092484376058,15.989531620989197,251.63084802102648,759.8978564590169,4621597.555948083,47.0
16.770127550922307,16.586405005427537,257.7932992602634,756.5843412341624,4460921.237561652,48.0
16.793004564635485,16.16715588406882,260.1644991912849,752.3499626415249,4317267.625255529,49.0
17.106362739570102,16.924002630235492,265.36285648874923,747.1477546263258,4136848.86662992,50.0
16.849012564723864,16.8854288785123,269.54387249655105,742.8317858629464,3968114.86074833,51.0
16.572477526874575,16.91107233932638,273.1463834379905,738.0076497906853,3801183.198619544,52.0
16.12198135456122,16.97945360927983,275.73280731173577,734.3029086191584,3661659.1716482546,53.0
16.832531677607125,16.657763137626688,281.94338982446124,729.5395049246387,3478101.350908206,54.0
16.898953321352387,17.11740963402741,286.33210887326953,725.1167432567429,3321962.8477885,55.0
16.70381711227613,17.10744003191101,290.44539551718117,720.3870976543753,3163855.429841949,56.0
16.932415621249433,17.120160955276873,295.2337049706245,716.3216288919413,3019817.249743032,57.0
16.817720705564422,17.13965789109963,299.8366517236264,710.8315994570906,2858487.366839955,58.0
16.784919935903517,17.27302020585165,304.8107931964958,705.1850742013771,2689497.788552306,59.0
16.995115173058835,17.505247750060363,310.4301652634738,699.3338345530518,2517880.3639969854,60.0
16.671500275288242,17.333138644295644,315.9595731653904,693.7367990968313,2346178.103658733,61.0
