thetaleft,thetaright,contactpointleft,contactpointright,volume,framenumber
16.735696599150998,17.96344551645595,232.18778566671415,775.5535123507441,5256980.090802091,0.0
16.73622709442239,17.659584535052574,231.75446392892806,775.3421645021642,5257210.9234027,1.0
16.758191311002225,17.74727756929741,231.76082251082255,775.0878750416249,5253666.7076029815,2.0
16.9137537363546,17.73926259721955,232.2263311093668,775.2944989534269,5247473.546525092,3.0
16.780103364869547,17.833054533590627,232.4476021300129,775.652419247419,5248770.964905571,4.0
16.532311410104683,17.818400181850194,231.991635745207,775.6940599876312,5256117.789673063,5.0
16.798567150193982,17.70985204570934,231.51756564863695,775.2206421356422,5256075.27813487,6.0
16.856974879498278,17.42816475042082,231.66928738919802,774.7192786380281,5223924.245943263,7.0
16.18089763735031,17.296106140274674,233.3313049252334,773.0747514390371,5082226.1358599765,8.0
15.421761134774272,17.004474715879837,230.5039831993404,769.5257350632553,5011549.649109883,9.0
17.114259233094554,17.103798125212137,240.15974405059217,765.7826346272774,4819107.894039673,10.0
17.618953099807182,17.227802668539624,248.93780457637587,762.78609002109,4620874.431631998,11.0
17.796485508028894,17.72284869503642,254.9003253294324,760.0878436147183,4462505.125687089,12.0
17.85942121498701,17.178318078681286,261.2124542867845,758.8140561224488,4304451.316093077,13.0
17.940452705633614,17.413690054696985,265.83650605172124,755.2564058560488,4150150.6818693196,14.0
18.027730217005164,17.286296768947267,269.6053638763197,751.7894222444215,4009226.1811168436,15.0
17.85729407115161,17.543504907482173,273.6193188429218,747.4375618429187,3857056.6725744754,16.0
18.207011319643975,18.355633141243516,277.6343808677316,742.0768740188382,3696842.148113317,17.0
17.980192628636402,17.193889444351043,281.5898237311118,738.9297893772892,3545106.0118318098,18.0
18.15446347983928,17.51665968423731,285.41547547612157,734.6297623953424,3402309.025532501,19.0
18.484698709634394,17.691562939660912,289.42728479853463,730.1608735014983,3256351.740085867,20.0
16.976756563274403,17.823760663054372,291.6797881116009,724.6964803045344,3105882.7106501954,21.0
17.77375567660679,18.13867447441106,297.7624664010341,719.5032219907193,2936602.1483755745,22.0
19.427233910622533,17.63433742011796,301.1348065871084,715.6850503050869,2848527.291924493,23.0
19.023052822559322,16.812863944575696,306.0925328047885,708.7074198804012,2632430.092980041,24.0
18.430283293487516,17.120035881824833,310.66906067171675,703.0087897370482,2479541.9264486134,25.0
17.753857123442227,17.18458031227857,314.99190591368125,697.5444268861391,2328816.92852698,26.0
18.019572945890744,16.998482436992504,320.24028388668063,692.0994092036274,2179443.2308753077,27.0
18.478836473716218,17.330228766538568,325.9037502773038,685.9856325222394,2030257.1608546283,28.0
18.65144819923296,17.790298334953235,331.65669427761725,679.2156641878715,1877749.6494120045,29.0
18.856517254740123,17.44319384501614,337.7212493551611,673.4227105969976,1729499.344958979,30.0
19.108408747660636,17.474806817852453,343.89734394402655,666.1766810163525,1575288.910492338,31.0
19.10218468497672,17.76204173597455,350.99629569501315,659.0068923922335,1421642.0142783583,32.0
19.55137010461386,17.955996470512417,358.87670782928336,651.5793485845293,1268781.7707934366,33.0
19.918572836277423,18.68886295107518,367.03147718679156,642.5099082937408,1110879.2939060924,34.0
19.67524774903416,19.055898575016442,376.10638046147994,634.1228566566283,953981.9746758487,35.0
20.043053619903677,19.387894220303338,385.4445800701478,623.6796146468744,794897.5744318877,36.0
20.480413196485408,19.71132756996127,396.6469981553932,612.269850979894,632397.6980193506,37.0
20.815680054901573,20.33016812915551,409.7269995831161,598.5251490562756,464991.26297120075,38.0
