thetaleft,thetaright,contactpointleft,contactpointright,volume,framenumber
22.873777963793234,23.229691154648407,50.61658665739019,852.0044303315732,14976215.0322454,0.0
22.884257749178616,22.804897876269877,50.78287698412694,852.0036612197324,14963082.163826507,1.0
22.84641600125817,22.964328177778754,50.854098381776936,851.9813881059415,14959707.18853998,2.0
23.503987780956088,23.23442700660948,50.921487708719845,851.8587074829932,14963571.277924936,3.0
23.118739759992756,22.814462630099115,50.8910997732426,852.1018125128843,14961511.003032107,4.0
23.198809705698736,23.08938105066278,50.89350649350647,851.8626082251078,14958705.861831037,5.0
22.811242761902907,22.955265829477412,51.02391723356009,851.8055331374972,14939867.199375603,6.0
23.386612279667936,22.93854438950916,51.168608147804555,851.8659519448801,14944679.817001577,7.0
23.20772401513148,22.530845865708727,51.097577690166965,851.8026762523192,14938515.124068793,8.0
23.13448434882761,23.156569851957272,51.23626984126984,851.5429749020819,14911389.886212954,9.0
23.122025902472288,22.617057456395656,52.96711193568335,850.122070578231,14708491.683302673,10.0
22.740652253052822,22.393022009708233,55.921387085137056,848.2200340136051,14489885.1454589,11.0
22.398984887635375,22.38402661652094,58.52680375180376,846.1513530715316,14279991.371443145,12.0
22.292385627757714,22.565479131688278,60.73008587146977,843.9286917150309,14083490.247386271,13.0
22.231865168490586,22.563038460064746,64.01432735914875,840.6856304112555,13824107.097229475,14.0
21.800586187388223,22.75278902268667,65.70370052566479,837.390646258503,13593289.882398747,15.0
21.971511979229344,22.241546499447338,68.53470663265301,833.5994447714979,13328675.1035207,16.0
21.955051079548095,22.543110603025724,70.82713032007675,830.1760374149659,13105836.89679085,17.0
22.24301782021454,22.2940818024573,73.442895021645,826.6236813285918,12862759.563933061,18.0
21.933807524510495,22.137213746937874,77.78296717171713,823.7150892857138,12559996.223642683,19.0
23.175528942144595,22.519454924612347,79.9082094294594,820.1360290404041,12490072.556043945,20.0
23.124737753666952,22.54914497716163,83.25354653283225,817.0793371212118,12254284.554549046,21.0
23.900057227815886,22.44162475317154,86.05086788211783,814.2546057613018,12067252.6045008,22.0
23.614922219778595,22.422828522216918,88.80857115107113,811.2544944341369,11842490.686097208,23.0
24.036904732192735,22.270411305651322,91.50815270047407,808.1837586718833,11625546.74909289,24.0
23.514801610114937,22.031691469127253,94.20532519068233,804.5623236584844,11375795.116594568,25.0
23.183699357008237,21.820061915491266,96.30547845012121,801.7987230626516,11178240.00184169,26.0
21.76017073732313,22.565795300025115,98.7779431457897,798.9626180169033,10964341.691875,27.0
23.392622256025867,22.50821174869131,103.80393648018644,797.044072871573,10741892.522960743,28.0
23.127901659985724,22.11787990952979,107.80005734345013,793.6165967068647,10470666.579566402,29.0
23.729907712527112,22.115665067640066,111.82195207570211,790.1266992531279,10223745.203803772,30.0
23.44310829414047,22.485304516783117,114.86022851156781,786.3975532800532,10002313.526364174,31.0
23.43754768685305,22.407938475924624,116.12224428435347,782.2945306479232,9807066.842937388,32.0
22.71800139714677,22.321832116443375,118.4352948006125,777.9541725536363,9558836.46706768,33.0
21.680687215716322,22.61934163509045,120.1303545937605,773.7369475762331,9323212.738982206,34.0
22.17221511450775,22.64201465214944,123.76747053366799,768.8018846489641,9049605.69942716,35.0
23.23625047135477,22.6845766483535,130.80341475488788,764.9125220018074,8738207.783175042,36.0
23.549444685019548,22.664007242927255,134.56567234586137,761.2168869622441,8489345.888880178,37.0
23.201025560452322,22.66129639178058,137.76124548070976,756.8356336322404,8237338.471367573,38.0
22.766655156894256,22.84245277787457,142.71082847212313,752.611745516388,7950925.016714734,39.0
22.680282224357192,22.6059085174125,147.25888389388385,748.4878429308782,7683991.817571213,40.0
22.741542796661264,22.867352270384686,151.27967722986628,743.8171821630751,7436835.3810877325,41.0
22.60217312445352,22.42514831105126,155.9960110127967,739.6667488067486,7164378.991522944,42.0
23.443791635916103,23.119382027360416,161.8715536844108,734.8778092145947,6880714.604168369,43.0
22.412393670840444,22.966496825609028,164.8105144855145,730.6331851035869,6643884.327353397,44.0
22.991580391890544,22.854813455578693,169.92680132367624,725.7217106306388,6374281.886139338,45.0
22.92284519392861,22.9543602720951,175.19926102171632,720.4211219732647,6104142.182531202,46.0
22.874298522825683,22.574623330853427,179.78305533751964,715.2404748822605,5839541.964199944,47.0
22.46399175812506,22.98008710033514,184.12299905451675,709.7715219601826,5586478.188338673,48.0
23.005159216269877,23.21847410199379,191.43342962184872,705.2367281973975,5313297.543245176,49.0
22.950072137361285,22.906091973591316,197.60185846453962,700.2536564625849,5040296.678511677,50.0
23.070009713929217,22.870458638733027,203.0204289014556,694.2725923026553,4771436.382910009,51.0
23.265059527320545,22.69282333858331,209.23208976303056,689.00667451596,4503889.076585169,52.0
22.881413870962337,22.126323691796642,215.03682554026997,683.2073144161509,4231311.957587271,53.0
22.834812166688458,22.717028801119284,221.11909626350527,677.0053721873364,3972394.6093060523,54.0
22.774923743290017,22.807083336323217,226.74311354349422,669.9898220057253,3709170.9351603184,55.0
22.98914810559821,23.037222863178073,233.2477897408962,662.5216086224702,3434786.0350633184,56.0
23.397713308976456,22.61250773532504,240.09117468495492,655.6112375046168,3163871.1886308827,57.0
23.606899817465024,22.73972667154854,247.21074551683014,647.321562122656,2887265.848772381,58.0
23.15064818355303,23.436260884327368,256.2020662190313,637.5553775528122,2579824.3182993587,59.0
23.297992529787027,22.49606575486834,265.6879895636484,625.6742696201287,2220954.8606259637,60.0
23.133316172389407,22.374869626470314,276.3003615656788,614.7079701858812,1905046.6604709295,61.0
